Dst_bytes,Flag,Root_shell,Su_attempted,Dst_host_count,Dst_host_srv_count,Dst_host_same_srv_rate,Dst_host_diff_srv_rate,Dst_host_same_src_port_rate,Dst_host_srv_diff_host_rate,Class
0.056633,0.098476,0.00031731,0.00032009,0.12975,0.002341,0.0017476,0.0039943,0,0,3
0.011491,0.0021095,0.00063463,0.00064018,0.0066146,0.0076081,0.087381,0,0.011051,0,4
0,0,0.046962,0.00064018,0.12975,0.0011705,0.00087381,0.067903,0.080119,0,2
0.011491,0.0021095,0.00031731,0.00032009,0.0076322,0.0087786,0.087381,0,0.0096695,0,4
0.011491,0.0021095,0.00031731,0.00032009,0.013229,0.015216,0.087381,0,0.0055254,0,4
0.15749,0.28378,0.00031731,0.00032009,0.12975,0.0017557,0.00087381,0.0039943,0,0,3
0,0,0.0025385,0.00064018,0.090569,0.0011705,0.00087381,0.0079886,0.0055254,0,2
0,0,0.00031731,0.00032009,0.019844,0.00058524,0.0026214,0.19971,0.0041441,0,2
0,0.024419,0.00095194,0.00096027,0.0020352,0.002341,0.087381,0,0.13814,0,3
0,0.059161,0.00095194,0.00096027,0.0015264,0.048575,0.087381,0,0.13814,0.0058113,3
0.011399,0.0021095,0.00063463,0.00064018,0.0035617,0.0040967,0.087381,0,0.019339,0,4
0.017601,0.047034,0.00031731,0.00032009,0.00050881,0.14924,0.087381,0,0.13814,0.014528,0
0.021978,0.0030759,0.00063463,0.00064018,0.0173,0.098906,0.087381,0,0.0041441,0.011623,0
0,0,0.031097,0.00064018,0.12975,0.0011705,0.00087381,0.043937,0.052491,0,2
0,0.024419,0.0012693,0.00096027,0.0015264,0.0029262,0.087381,0,0.13814,0.11623,3
0.011491,0.0021095,0.00031731,0.00032009,0.0173,0.019898,0.087381,0,0.0041441,0,4
0.019151,0.0017795,0.0025385,0.0025607,0.0040705,0.052087,0.087381,0,0.016576,0.011623,0
0,0,0.00031731,0.00032009,0.024423,0.00058524,0.0017476,0.19971,0.0027627,0,2
0,0,0.021577,0.00032009,0.1211,0.00058524,0,0.031954,0.040059,0,2
0.15822,0.032597,0.00031731,0.00032009,0.0010176,0.002341,0.087381,0,0.069068,0.14528,3
0.023711,0.031054,0.00031731,0.00032009,0.12975,0.00058524,0,0.0019971,0,0,3
0.011491,0.0021095,0.00031731,0.00032009,0.019844,0.022824,0.087381,0,0.0041441,0,4
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.0145,0.048165,0.0015866,0.0016004,0.0055969,0.046234,0.087381,0,0.012432,0.011623,0
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.011399,0.0021095,0.00063463,0.00064018,0.0010176,0.0011705,0.087381,0,0.069068,0,4
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0,0,0.00031731,0.00032009,0.0096674,0.00058524,0.0043691,0.19971,0.0069068,0,2
0,0,0.050135,0.00064018,0.12975,0.0011705,0.00087381,0.071897,0.085644,0,2
0.14217,0.033646,0.00031731,0.00032009,0.0010176,0.0011705,0.087381,0,0.069068,0,3
0.011491,0.0021095,0.00063463,0.00064018,0.0055969,0.0064377,0.087381,0,0.012432,0,4
0,0.059161,0.00095194,0.00096027,0.0015264,0.0017557,0.087381,0,0.13814,0,3
0.024532,0.027494,0.00031731,0.00032009,0.035108,0.0011705,0.0026214,0.011983,0.0013814,0,3
0,0,0.0057116,0.00064018,0.095657,0.0011705,0.00087381,0.011983,0.013814,0,2
0.094114,0,0.16215,0.16357,0.12975,0.14221,0.083012,0.0019971,0.13123,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.008141,0.0093639,0.087381,0,0.0082881,0,4
0.094114,0,0.16215,0.16357,0.12975,0.13636,0.079517,0.0019971,0.1257,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.0091586,0.010534,0.087381,0,0.0082881,0,4
0,0,0.00031731,0.00032009,0.029511,0.00058524,0.0017476,0.19971,0.0027627,0,2
0.037846,0.83119,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0.094114,0,0.16151,0.16293,0.11092,0.042723,0.028836,0.0019971,0.045585,0,1
0.014135,0.0049968,0.00095194,0.0041612,0.0061057,0.14924,0.087381,0,0.011051,0.014528,0
0.14473,0.079042,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0.019789,0.023947,0.0019039,0.0019205,0.024932,0.028677,0.087381,0,0.0027627,0,0
0,0,0.027924,0.00064018,0.12975,0.0011705,0.00087381,0.037946,0.048347,0,2
0.094114,0,0.16215,0.16357,0.08548,0.013461,0.012233,0.0039943,0.019339,0,1
0.021978,0.0030523,0.0038078,0.0038411,0.047828,0.13402,0.087381,0,0.0013814,0.0087169,0
0.018695,0.0049968,0.00063463,0.0080022,0.0010176,0.14924,0.087381,0,0.069068,0.014528,0
0.094114,0,0.16215,0.16357,0.10583,0.03687,0.026214,0.0019971,0.041441,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.010176,0.011705,0.087381,0,0.0069068,0,4
0.094114,0,0.16215,0.16357,0.12975,0.11295,0.06641,0.0019971,0.10498,0,1
0.021431,0.015757,0.0025385,0.0025607,0.014756,0.016972,0.087381,0,0.0041441,0,0
0.094114,0,0.16215,0.16357,0.12975,0.071985,0.041943,0.0019971,0.066305,0,1
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.0086498,0.0099491,0.087381,0,0.0082881,0,4
0.0094844,0.0032527,0.00031731,0.00032009,0.00050881,0.0011705,0.087381,0,0.13814,0.29056,4
0.011399,0.0021095,0.00063463,0.00064018,0.0030529,0.0035115,0.087381,0,0.023483,0,4
0,0,0.00031731,0.00032009,0.035108,0.00058524,0.00087381,0.19971,0.0013814,0,2
0.021796,0.0057275,0.0025385,0.0025607,0.0096674,0.01112,0.087381,0,0.0069068,0,0
0,0,0.053309,0.00032009,0.12975,0.00058524,0,0.075892,0.091169,0,2
0,0,0.00031731,0.00032009,0.0040705,0.00058524,0.010486,0.19971,0.016576,0,2
0.033742,0.0061282,0.00095194,0.00096027,0.036634,0.14924,0.087381,0,0.0013814,0.011623,0
0.0078428,0.0021567,0.00031731,0.00032009,0.12975,0.00058524,0,0.0039943,0,0,3
0.57216,0.19765,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0.1429,0.036475,0.00031731,0.00032009,0.0010176,0.0011705,0.087381,0,0.069068,0,3
0,0.067057,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0.21905,0.046421,0.00031731,0.00032009,0.00050881,0.0011705,0.087381,0,0.13814,0.29056,3
0.011491,0.0021095,0.00095194,0.00096027,0.019335,0.022239,0.087381,0,0.0041441,0,4
0.021431,0.078099,0.00031731,0.00032009,0.016282,0.14924,0.087381,0,0.0041441,0.014528,0
0.011399,0.0021095,0.00063463,0.00064018,0.0045793,0.0052672,0.087381,0,0.015195,0,4
0.0081164,0.0040658,0.00031731,0.00032009,0.12975,0.00058524,0,0.0039943,0,0,3
0.02362,0.046162,0.00031731,0.00032009,0.02137,0.14924,0.087381,0,0.0027627,0.014528,0
0.019789,0.023947,0.0019039,0.0019205,0.03002,0.034529,0.087381,0,0.0027627,0,0
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.011194,0.012875,0.087381,0,0.0069068,0,4
0.0029183,0,0.00031731,0.00032009,0.12975,0.00058524,0,0.0039943,0,0,3
0.1378,0.034848,0.00031731,0.00032009,0.00050881,0.0017557,0.087381,0,0.13814,0.19468,3
0.094114,0,0.16215,0.16357,0.12975,0.12466,0.0734,0.0019971,0.11603,0,1
0.02134,0.0030052,0.0015866,0.0016004,0.04274,0.12817,0.087381,0,0.0013814,0.0087169,0
0.011399,0.0021095,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,4
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.094114,0,0.16215,0.16357,0.12975,0.1071,0.062915,0.0019971,0.099457,0,1
0,0,0.00031731,0.00032009,0.03002,0.00058524,0.0017476,0.19971,0.0027627,0,2
0,0,0.00031731,0.00032009,0.008141,0.0011705,0.0052429,0.19971,0.0082881,0.29056,2
0.011491,0.0021095,0.00031731,0.00032009,0.016282,0.018728,0.087381,0,0.0041441,0,4
0,0,0.00031731,0.00032009,0.014247,0.00058524,0.0034953,0.19971,0.0055254,0,2
0.011491,0.0021095,0.00031731,0.00032009,0.013738,0.015802,0.087381,0,0.0055254,0,4
0.011491,0.0021095,0.00031731,0.00032009,0.018317,0.021069,0.087381,0,0.0041441,0,4
0.011491,0.0021095,0.00031731,0.00032009,0.01272,0.014631,0.087381,0,0.0055254,0,4
0.019333,0.022863,0.00031731,0.00064018,0.00050881,0.040382,0.087381,0,0.13814,0.011623,0
0.023437,0.0096401,0.0038078,0.0038411,0.022388,0.10476,0.087381,0,0.0027627,0.0087169,0
0.094114,0,0.16215,0.16357,0.1211,0.054427,0.034079,0.0019971,0.053873,0,1
0.011491,0.0021095,0.00031731,0.00032009,0.014247,0.016387,0.087381,0,0.0055254,0,4
0.012494,0.015922,0.00031731,0.00032009,0.0010176,0.0011705,0.087381,0,0.069068,0,3
0,0.0010724,0.00031731,0.00032009,0.0030529,0.029847,0.014855,0.19971,0.023483,0.011623,2
0.019516,0.17629,0.0019039,0.0019205,0.0055969,0.14924,0.087381,0,0.012432,0.014528,0
0.025261,0.008167,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0,0,0.00031731,0.00032009,0.024932,0.00058524,0.0017476,0.19971,0.0027627,0,2
0.094114,0,0.16215,0.16357,0.10074,0.031018,0.023593,0.0039943,0.037297,0,1
0.022343,0.022615,0.0041251,0.0041612,0.0066146,0.14573,0.087381,0,0.011051,0.0087169,0
0.011399,0.0021095,0.00031731,0.00032009,0.0020352,0.002341,0.087381,0,0.034534,0,4
0.021249,0.0059397,0.0022212,0.0022406,0.032564,0.11646,0.087381,0,0.0027627,0.0087169,0
0.094114,0,0.16215,0.16357,0.12975,0.095394,0.055924,0.0019971,0.088407,0,1
0,0.05909,0.00095194,0.00064018,0.0010176,0.002341,0.087381,0,0.13814,0.14528,3
0,0,0.043789,0.00064018,0.12975,0.0011705,0.00087381,0.061912,0.074593,0,2
0.019789,0.21725,0.00063463,0.00064018,0.020861,0.14924,0.087381,0,0.0027627,0.014528,0
0.011399,0.0021095,0.00063463,0.00064018,0.0050881,0.0058524,0.087381,0,0.013814,0,4
0.021796,0.011408,0.00095194,0.00096027,0.0015264,0.13987,0.087381,0,0.045585,0.0087169,0
0.011491,0.0021095,0.00063463,0.00064018,0.017808,0.020483,0.087381,0,0.0041441,0,4
0.023346,0.013777,0.0012693,0.0012804,0.0020352,0.081349,0.087381,0,0.034534,0.011623,0
0.094114,0,0.16215,0.16357,0.12975,0.13051,0.076022,0.0019971,0.12018,0,1
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.029365,0.0049968,0.00063463,0.00064018,0.031546,0.14924,0.087381,0,0.0027627,0.014528,0
0.094114,0,0.16215,0.16357,0.12975,0.089542,0.052429,0.0019971,0.082881,0,1
0.012311,0.015203,0.00031731,0.00032009,0.0030529,0.002341,0.058545,0.099857,0.023483,0,3
0.094114,0,0.16215,0.16357,0.12975,0.08369,0.048934,0.0019971,0.077356,0,1
0.011399,0.0021095,0.00063463,0.00064018,0.0015264,0.0017557,0.087381,0,0.045585,0,4
0,0.06642,0.00031731,0.00032009,0.00050881,0.023995,0.087381,0,0.13814,0.029056,3
0.094114,0,0.16215,0.16357,0.12975,0.14807,0.086507,0.0019971,0.13675,0,1
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.011491,0.0021095,0.00031731,0.00032009,0.016791,0.019313,0.087381,0,0.0041441,0,4
0,0,0.00031731,0.00032009,0.0086498,0.0011705,0.0052429,0.19971,0.0082881,0.29056,2
0.02745,0.031266,0.00063463,0.00064018,0.026458,0.14924,0.087381,0,0.0027627,0.014528,0
0.011491,0.0021095,0.00063463,0.00064018,0.0096674,0.01112,0.087381,0,0.0069068,0,4
0.01295,0.015061,0.00031731,0.00032009,0.0025441,0.0017557,0.052429,0.11983,0.027627,0,3
0,4.714e-05,0.00031731,0.00032009,0.0091586,0.00058524,0.0052429,0.19971,0.0082881,0,2
0.016142,0.023393,0.00031731,0.00032009,0.014247,0.069644,0.087381,0,0.0055254,0.011623,0
0.094114,0,0.10027,0.10115,0.075304,0.0017557,0.0017476,0.0039943,0.0027627,0,1
0.032283,0.020647,0.00063463,0.00064018,0.0025441,0.14924,0.087381,0,0.027627,0.011623,0
0.022617,0.02509,0.0072982,0.007362,0.011703,0.14924,0.087381,0,0.0055254,0.0087169,0
0.018422,0.0049968,0.00095194,0.00096027,0.011194,0.14924,0.087381,0,0.0069068,0.014528,0
0.020975,0.0075896,0.00031731,0.00032009,0.0020352,0.00058524,0.021845,0.14979,0.034534,0,3
0.020245,0.0091098,0.0034904,0.003521,0.019335,0.075496,0.087381,0,0.0041441,0.011623,0
0,0,0.037443,0.00064018,0.12975,0.0011705,0.00087381,0.051926,0.063542,0,2
0,0,0.00031731,0.00032009,0.0045793,0.00058524,0.0096119,0.19971,0.015195,0,2
0.011491,0.0021095,0.00063463,0.00064018,0.010685,0.01229,0.087381,0,0.0069068,0,4
0,0,0.03427,0.00032009,0.12975,0.00058524,0,0.047932,0.058017,0,2
0.011491,0.0021095,0.00063463,0.00064018,0.011703,0.013461,0.087381,0,0.0055254,0,4
0.016506,0.064228,0.0025385,0.0025607,0.0045793,0.0052672,0.087381,0,0.015195,0,0
0.011399,0.0021095,0.00063463,0.00064018,0.0025441,0.0029262,0.087381,0,0.027627,0,4
0.094114,0,0.16215,0.16357,0.12975,0.1188,0.069905,0.0019971,0.11051,0,1
0.094114,0,0.16151,0.16293,0.095657,0.025165,0.020098,0.0039943,0.031771,0,1
0,0,0.00031731,0.00032009,0.034599,0.00058524,0.00087381,0.19971,0.0013814,0,2
0,0.069779,0.00063463,0.00032009,0.00050881,0.0017557,0.087381,0,0.13814,0.19468,3
0,0,0.00031731,0.00032009,0.014756,0.00058524,0.0026214,0.19971,0.0041441,0,2
0,0,0.012058,0.00032009,0.10583,0.00058524,0,0.021969,0.024864,0,2
0.019333,0.009263,0.0025385,0.0025607,0.0040705,0.057939,0.087381,0,0.016576,0.014528,0
0,0,0.00031731,0.00032009,0.023405,0.0011705,0.0017476,0.19971,0.0027627,0.29056,2
